"1","Andy Marnach","Sr","Hamline","22.73","H9"
"2","Jordan Spronk","So","Bethel","23.01","H9"
"3","Rick Wolke","So","Augsburg","23.05","H9"
"4","Matt Dvorak","So","Gustavus","23.07","H9"
"5","Nick Ward","Jr","Augsburg","23.16","H6"
"6","James Strand","Sr","Augsburg","23.25","H8"
"7","Kendrick Hall","Fr","Gustavus","23.63","H8"
"8","Gil Millette","Fr","Augsburg","23.94","H7"
"8","Alen Bobaric","Fr","Bethel","23.94","H8"
"10","Kyler Maxfield","Jr","Luther","23.96","H7"
"11","Jon Raberg","So","Carleton","23.97","H5"
"12","David Schutt","Sr","Gustavus","23.98","H8"
"13","Gabe Kleinschmidt","So","Bethel","24.14","H6"
"14","Steven Williams","Jr","Hamline","24.31","H4"
"15","Tony Reed","Sr","Gustavus","24.36","H5"
"16","Matt Warhol","Jr","Hamline","24.44","H4"
"16","Robert Matthiesen","So","Luther","24.44","H5"
"18","Steven Holley","Jr","Carleton","24.45","H4"
"19","Vaughn Tackmann","Jr","Luther","24.46","H5"
"20","Matt Kenutis","Jr","Bethel","24.63","H7"
"21","Ezra Velazquez","Sr","Carleton","24.80","H3"
"22","Dan Bergeson","Fr","Augsburg","24.98","H3"
"23","Kyle Burkhardt","Sr","Carleton","25.24","H3"
"24","Jeremiah Cook","Sr","Luther","25.41","H3"
"25","Brock Luehman","Fr","Hamline","25.43","H2"
"26","Geo Chester","Fr","Macalester","27.25","H2"
"27","Andrew Flynn","So","Macalester","27.37","H1"
"28","Matt Edelman","Fr","Macalester","28.00","H1"
"29","Gautam Mani","Sr","Macalester","28.54","H1"
