"1","Christian Willman","Fr","Hamline","1:16.18","H3"
"2","Matthew Schafer","Fr","Augsburg","1:16.19","H3"
"3","Brant Luehman","Sr","Hamline","1:16.67","H3"
"4","Matt Neufeld","Jr","Bethel","1:16.85","H3"
"5","Sam Donlan","Sr","Luther","1:17.35","H2"
"6","Ryan Egan","Sr","Luther","1:17.45","H3"
"7","Palmer Fliss","Jr","Macalester","1:18.48","H1"
"7","Cristian Raether","Jr","Gustavus","1:18.48","H1"
"9","Tat Erredge","Sr","Luther","1:19.22","H2"
"10","Nick Clark","Fr","Luther","1:19.97","H2"
"11","Julian Childs-Walker","Fr","Carleton","1:20.33","H2"
"12","Andy Ambrose","Fr","Luther","1:20.60","H1"
"13","Dylan Cheever","Fr","Carleton","1:20.81","H2"
"14","Jeremiah Cook","Sr","Luther","1:20.89","H1"
"15","Steven Ducatelli","Fr","Hamline","1:21.19","H2"
"16","Jon Gershberg","Fr","Macalester","1:22.84","H1"
"17","Elliott Drake","Fr","Luther","1:23.57","H1"
