"1","Max Hanson","Sr","Gustavus","1:54.68","H2"
"2","Jack Delehanty","--","Unattached","1:57.32","H2"
"3","Michael Sanders","Sr","Carleton","1:57.61","H2"
"4","Carson Smith","Jr","Gustavus","1:58.32","H2"
"5","Tom Blattner","Sr","Luther","2:00.46","H2"
"6","Max Molzahn","So","Luther","2:03.15","H1"
"7","Zach Haskins","Fr","Bethel","2:03.55","H2"
"8","Andrew Boeddeker","Sr","Bethel","2:05.17","H1"
"9","Matt McKeever","So","Bethel","2:05.23","H2"
"10","Jason Chrudimsky","Jr","Augsburg","2:09.67","H1"
"11","Ethan Gutzmann","So","Augsburg","2:10.26","H1"
"12","Ryan Norman","Fr","Augsburg","2:10.83","H1"
"13","Ben Weiner","So","Gustavus","2:11.05","H1"
"14","Tony Fremling","So","Augsburg","2:17.27","H1"
