"1","Dan Greeno","Sr","Bethel","14:43.82","H2"
"2","Jacob Marotz","Sr","St. Olaf","14:53.17","H2"
"3","Ian Bauer","Sr","Hamline","15:00.79","H2"
"4","Brent Haglund","Sr","Augsburg","15:14.27","H2"
"5","Victor Sanchez","Sr","Augsburg","15:22.05","H2"
"6","Ellis Richardson","So","Hamline","15:26.52","H2"
"7","Devin Monson","So","Hamline","15:32.67","H2"
"8","Paul Riley","--","Unattached","15:40.54","H1"
"9","Andrew Johnson","Jr","Hamline","15:43.30","H1"
"10","Jesse Merkel","Sr","Minn State Mankato","15:43.90","H2"
"11","John Davis","Jr","Carleton","15:48.01","H1"
"12","Mark Bartley","So","Gustavus","15:49.52","H1"
"13","Shane Wyborny","Sr","Augsburg","15:54.65","H2"
"14","Bobby Davis","Fr","Carleton","15:55.36","H1"
"15","Nick Ross","Jr","Gustavus","16:01.13","H1"
"16","Austin Hinrichs","Jr","Bethel","16:02.54","H1"
"17","Joel McDougall","So","Bethel","16:13.71","H1"
"18","Mark Hartman","Sr","Gustavus","16:19.80","H1"
"19","Adam Lund","Fr","Gustavus","16:31.35","H1"
"20","Geoff Gillmor","So","Augsburg","16:40.79","H1"
"21","Austin Erickson","So","Augsburg","17:08.16","H1"
