"1","Nick Ward","Jr","Augsburg","6.52","H7"
"2","Clarence Suttle","Jr","Hamline","6.62","H7"
"3","Matt Dvorak","So","Gustavus","6.66","H7"
"4","Andy Marnach","Sr","Hamline","6.73","H7"
"4","Andrew Grove","Fr","Luther","6.73","H7"
"6","Brent Nelson","Sr","Hamline","6.74","H6"
"7","Kendrick Hall","Fr","Gustavus","6.77","H6"
"8","Nathan Sayler","Fr","Bethel","6.84","H6"
"9","Jon Raberg","So","Carleton","6.86","H3"
"10","Kyler Maxfield","Jr","Luther","6.87","H5"
"10","Gil Millette","Fr","Augsburg","6.87","H5"
"10","Alen Bobaric","Fr","Bethel","6.87","H7"
"13","Kegan Sunderland","Fr","Hamline","6.89","H6"
"14","James Morrissey","So","Carleton","6.91","H4"
"15","Orlando Sanchez","Fr","Hamline","6.92","H6"
"16","Javan Copley","So","Hamline","6.93","H5"
"17","David Schutt","Sr","Gustavus","6.94","H5"
"18","Matt Warhol","Jr","Hamline","7.01","H5"
"18","Jordan Spronk","So","Bethel","7.01","H7"
"20","Noah Mooney","Fr","Bethel","7.03","H3"
"20","Cj Dale","Fr","Carleton","7.03","H4"
"22","Matt Kenutis","Jr","Bethel","7.07","H5"
"23","David Nestrud","Sr","Augsburg","7.10","H3"
"23","Shane Pantila","Jr","Augsburg","7.10","H5"
"25","Joe Concannon","Fr","Carleton","7.11","H2"
"26","Ty Martin","Jr","Carleton","7.12","H2"
"27","Nick Backman","Fr","Bethel","7.14","H3"
"28","Steven Williams","Jr","Hamline","7.20","H4"
"29","Ezra Velazquez","Sr","Carleton","7.22","H4"
"30","Adam Horkey","Sr","Augsburg","7.23","H3"
"31","Dylan Bothun","Jr","Carleton","7.27","H2"
"32","Jordan Humpal","So","Luther","7.34","H4"
"33","Dan Sorensen","So","Macalester","7.39","H1"
"34","Jordan Vandorp","Sr","Gustavus","7.40","H1"
"35","Joel Willenbring","Fr","Bethel","7.47","H3"
"36","Andrew Flynn","So","Macalester","7.68","H2"
"37","Siqi Zheng","Fr","Macalester","7.79","H1"
"38","Geo Chester","Fr","Macalester","7.81","H2"
"39","Matt Edelman","Fr","Macalester","7.97","H1"
"40","Chase Winger","Fr","Augsburg","8.16","H1"
"41","Gautam Mani","Sr","Macalester","8.28","H1"
"42","Brock Luehman","Fr","Hamline","9.03","H3"
