"1","Tyson Molitor","Jr","Hamline","50.51","H6"
"2","Rob LeMay","Fr","Bethel","51.17","H5"
"2","Rick Wolke","So","Augsburg","51.17","H6"
"4","James Strand","Sr","Augsburg","51.19","H5"
"5","Christian Swanberg","Jr","Hamline","52.15","H6"
"6","Joe Arnold","So","Augsburg","52.21","H6"
"7","Gavin Woodland","Fr","Bethel","52.22","H5"
"8","Dan Holmgren","Jr","Hamline","52.53","H5"
"9","Jordan Butler","Fr","Carleton","53.00","H4"
"10","Jordan Anderson","Fr","Bethel","53.03","H4"
"11","Robert Matthiesen","So","Luther","53.28","H4"
"12","Vaughn Tackmann","Jr","Luther","54.06","H3"
"13","Steven Holley","Jr","Carleton","54.31","H1"
"14","Donterrious Porter","So","Luther","55.10","H3"
"15","Ezra Velazquez","Sr","Carleton","55.26","H1"
"16","Grant Cooper","Fr","Gustavus","55.35","H1"
"17","Mike Bollin","Sr","Gustavus","55.52","H2"
"18","Dan Bergeson","Fr","Augsburg","55.99","H1"
"19","Jeremy Bock","Sr","Gustavus","56.16","H2"
"20","David Erlandson","Jr","Gustavus","56.20","H1"
"21","David Johnson","So","Gustavus","56.34","H2"
"22","Kyle Burkhardt","Sr","Carleton","56.53","H1"
"23","Tanner Quammen","Fr","Gustavus","58.85","H2"
