"1","Drew Burmahl","Sr","Luther","8:47.30","H2"
"2","Wade Ekstrom","Sr","Macalester","8:48.02","H2"
"3","Jack Diechert","So","Hamline","8:51.90","H2"
"4","Shane Steele","So","Luther","8:59.32","H2"
"5","Alex Thornton","So","Gustavus","9:02.97","H2"
"6","Nate Walker","Fr","Hamline","9:03.43","H2"
"7","Carl Biggers","So","Macalester","9:04.02","H2"
"8","Jordan Lang","Jr","Luther","9:04.03","H2"
"9","Chris Marshall","Sr","Carleton","9:04.43","H2"
"10","Austin Tegels","Sr","Luther","9:05.19","H2"
"11","Jeremy Kuhn","Jr","Gustavus","9:15.18","H1"
"12","Nate Dobbins","Fr","Hamline","9:18.18","H1"
"13","Mike Switzer","Sr","Luther","9:25.86","H2"
"14","Nick Mangigian","Sr","Macalester","9:26.19","H1"
"15","Erik Johnson","Jr","Luther","9:27.33","H2"
"16","Jon Kittaka","Fr","Carleton","9:29.49","H1"
"17","Nick Krinkie","Fr","Bethel","9:42.99","H1"
"18","Chas Karch","Fr","Carleton","9:48.41","H1"
"19","Justin Ivory","Fr","Bethel","9:49.49","H1"
"20","Pete Steele","So","Macalester","9:56.86","H1"
"20","Mark Petersen","Jr","Gustavus","9:56.86","H1"
"22","Carl Petri","Fr","Macalester","9:58.39","H1"
"23","Alex Stewart","Fr","Bethel","10:04.37","H1"
"24","Rayn Sutley","Fr","Macalester","10:15.26","H1"
"25","Joe Macula","Fr","Macalester","10:22.84","H1"
"26","Spencer Retelle","Jr","Macalester","11:11.34","H1"
